"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"219","Benjamin Watson","BAL","TE29","10","110","270","208.9","40.3","270.0","+51.0"
"220","Jerick McKinnon","MIN","RB70","9","99","307","208.6","35.8","281.0","+61.0"
"221","Dwayne Allen","NE","TE30","9","141","296","216.0","40.0","212.0","-9.0"
"222","Tyler Boyd","CIN","WR79","6","102","282","212.2","36.5","271.0","+49.0"
"223","Matt Prater","DET","K7","7","149","267","208.8","27.7","181.0","-42.0"
"224","Paul Richardson","SEA","WR80","6","138","280","217.0","38.5","276.0","+52.0"
"225","Curtis Samuel","CAR","WR81","11","134","274","222.2","36.4","231.0","+6.0"
"226","Cincinnati Bengals","","DST12","6","148","258","207.5","25.5","235.0","+9.0"
"227","Dustin Hopkins","WAS","K8","5","154","269","220.0","33.5","220.0","-7.0"
"228","Malcolm Mitchell","NE","WR82","9","107","265","208.5","31.1","219.0","-9.0"
"229","Baltimore Ravens","","DST13","10","140","257","201.4","21.0","213.0","-16.0"
"230","Cairo Santos","KC","K9","10","148","267","210.2","24.0","195.0","-35.0"
"231","Steven Hauschka","BUF","K10","6","145","268","207.3","25.7","209.0","-22.0"
"232","Pittsburgh Steelers","","DST14","9","144","268","203.6","22.2","184.0","-48.0"
"233","Philadelphia Eagles","","DST15","10","145","270","210.6","26.0","233.0","0.0"
"234","James Conner","PIT","RB71","9","148","282","225.8","38.7","215.0","-19.0"
"235","Deshaun Watson","HOU","QB27","7","151","305","212.1","30.4","174.0","-61.0"
"236","Kyle Juszczyk","SF","RB72","11","121","288","219.8","49.6","261.0","+25.0"
"237","De'Angelo Henderson","DEN","RB73","5","129","282","195.0","41.4","203.0","-34.0"
"238","Braxton Miller","HOU","WR83","7","127","265","207.7","42.3","284.0","+46.0"
"239","ArDarius Stewart","NYJ","WR84","11","153","273","218.6","33.0","283.0","+44.0"
"240","Tyler Higbee","LAR","TE31","8","149","313","222.9","36.6","225.0","-15.0"
"241","Trevor Siemian","DEN","QB28","5","147","311","220.5","29.8","285.0","+44.0"
"242","Will Lutz","NO","K11","5","152","264","218.1","27.3","205.0","-37.0"
"243","Chris Boswell","PIT","K12","9","155","274","224.9","28.2","240.0","-3.0"
"244","Brandon LaFell","CIN","WR85","6","164","280","224.2","33.0","204.0","-40.0"
"245","Vance McDonald","SF","TE32","11","156","299","231.0","36.2","337.0","+92.0"
"246","Laquon Treadwell","MIN","WR86","9","142","293","230.2","37.8","264.0","+18.0"
"247","Ryan Mathews","FA","RB74","","127","274","230.8","39.5","282.0","+35.0"
"248","Chris Hogan","NE","WR87","9","161","279","231.8","31.7","254.0","+6.0"
"249","Carlos Henderson","DEN","WR88","5","29","274","203.1","78.8","238.0","-11.0"
